naziv;¹ifra;marka;neto kolièina;jedinica mjere;MPC;cijena za jedinicu mjere;MPC za vrijeme posebnog oblika prodaje;Najni¾a cijena u posljednjih 30 dana;datum sidrene cijene;sidrena cijena na 2.5.2025.;barkod;kategorija proizvoda
OMEK©.TESORI PERSIAN 760 ml;378064;Tesori;0.7600;l;;3.93;2.99;4.49;02.05.2025;4.49;8008970055268;Sredstva za èi¹æenje
OMEK.TESORI HAMMAM 760 ml;378066;Tesori;0.7600;l;;3.93;2.99;4.49;02.05.2025;4.49;8008970055213;Sredstva za èi¹æenje
PIVO KARLOVAÈKO SPEC.EDI.0,5 L;378081;Karlovacko;0.5000;L;1.02;2.04;;;02.05.2025;1.02;3850103902636;Piæa
KREMA ZIAJA ZA RUKE CER.100 ml;378087;Ziaja;0.1000;L;1.60;16.00;;;02.05.2025;1.60;5901887036388;Kozmetika
KREMA ZIAJA ZA RUKE KA©.100 ml;378089;Ziaja;0.1000;L;1.60;16.00;;;02.05.2025;1.60;5901887036395;Kozmetika
KREMA LICE ZIAJA MASLINA 50 ml;378091;Ziaja;0.0500;L;4.19;83.80;;;02.05.2025;4.19;5901887033226;Kozmetika
DN.KREMA LICE ZIAJA MLIJ.50 ml;378093;zhengwei zhang;0.0500;L;5.35;107.00;;;02.05.2025;5.35;5901887032212;Kozmetika
NO.KREMA LICE ZIAJA MLIJ.50 ml;378094;Ziaja;0.0500;L;5.35;107.00;;;02.05.2025;5.35;5901887032229;Kozmetika
GEL ZIAJA TU©. NARANÈA 500 ml;378098;Ziaja;0.5000;L;2.99;5.98;;;02.05.2025;2.99;5901887016236;Kozmetika
FLIPS CHEETOS PIZZA 85 g;378103;Cheetos;0.0850;kg;2.49;29.29;;;02.05.2025;2.49;5900259130839;Hrana
GEL TU©.ZIAJA MLIJEKO 500 ml;378104;Ziaja;0.5000;L;2.99;5.98;;;02.05.2025;2.99;5901887007241;Kozmetika
GEL TU©.ZIAJA KAKAO 500 ml;378109;Ziaja;0.5000;L;2.99;5.98;;;02.05.2025;2.99;5901887008316;Kozmetika
GEL TU©.ZIAJA MASLINA 500 ml;378112;Ziaja;0.5000;L;2.99;5.98;;;02.05.2025;2.99;5901887008309;Kozmetika
LOSION ZIAJA KA©MIR 400 ml;378114;Ziaja;0.4000;L;4.79;11.98;;;02.05.2025;4.79;5901887035930;Kozmetika
LOSION ZIAJA MLIJEKO 400 ml;378115;Ziaja;0.4000;L;4.79;11.98;;;02.05.2025;4.79;5901887018223;Kozmetika
ROLL ON ZIAJA ELEGANCE 60 ml;378116;Ziaja;0.0600;L;2.49;41.50;;;02.05.2025;2.49;5901887028192;Kozmetika
