"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";NETO_KOLIČINA;"JEDINICA_MJERE";MALOPROD.CIJENA(EUR);CIJENA_ZA_JEDINICU_MJERE;MPC_POSEB.OBLIK_PROD;POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE;NAJNIŽA_MPC_U_30DANA;SIDRENA_CIJENA;"BARKOD";"KATEGORIJA_PROIZVODA"
"ČOKOLADNI KEKSI 150g";"004435401";"DOLCIANDO";0.15;"KG";1.49;9.93;0;0;0;1.49;"8017596006523";"KEKSI/VAFLI/SNACKS"
"EK.DJEVIČANSKO MASLINOVO ULJE 750ml";"004472701";"PODERE DEL CONTE";0.75;"LT";10.99;14.65;0;0;0;10.99;"80724292";"ULJE"
"EK.DJEVIČANSKO MASLINOVO ULJE 750ml";"004472701";"PODERE DEL CONTE";0.75;"LT";10.99;14.65;0;0;0;10.99;"80731887";"ULJE"
"VINO CHIANTI 750ml";"004516101";"NO BRAND";0.75;"LT";3.89;5.19;2.49;3.32;3.89;3.89;"8004784000012";"VINA"
"VINO CHIANTI 750ml";"004516101";"NO BRAND";0.75;"LT";3.89;5.19;2.49;3.32;3.89;3.89;"8004784002337";"VINA"
"VINO CHIANTI 750ml";"004516101";"NO BRAND";0.75;"LT";3.89;5.19;2.49;3.32;3.89;3.89;"8018485000097";"VINA"
"VINO CHIANTI 750ml";"004516101";"NO BRAND";0.75;"LT";3.89;5.19;2.49;3.32;3.89;3.89;"8057741770008";"VINA"
"KREM NAMAZ DUO 400g";"004530201";"DOLCIANDO";0.4;"KG";1.99;4.98;0;0;0;1.99;"80176565";"DORUČAK - PAHULJICE/NAMAZI/MED"
"KREM NAMAZ DUO 400g";"004530201";"DOLCIANDO";0.4;"KG";1.99;4.98;0;0;0;1.99;"8017596009791";"DORUČAK - PAHULJICE/NAMAZI/MED"
"*SIR EDAMER ALPENSTRASSE";"004630001";"NO BRAND";1;"KG";9.9;9.9;0;0;0;9.9;"";"DELIKATESA - SIREVI"
"ROLADA S LJEŠNJAK KREMOM 250g";"004747201";"DOLCIANDO";0.25;"KG";1.19;4.76;0;0;0;1.19;"8001585006014";"TORTE I ROLADE"
"ROLADA S LJEŠNJAK KREMOM 250g";"004747201";"DOLCIANDO";0.25;"KG";1.19;4.76;0;0;0;1.19;"8001585002115";"TORTE I ROLADE"
"ROLADA S LJEŠNJAK KREMOM 250g";"004747201";"DOLCIANDO";0.25;"KG";1.19;4.76;0;0;0;1.19;"8017596054050";"TORTE I ROLADE"
"PANIRANI SURIMI OKUS RAKOVA 250g";"005003901";"ATHENA";0.25;"KG";2.39;9.56;0;0;0;2.39;"8001179010076";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"PANIRANI SURIMI OKUS RAKOVA 250g";"005003901";"ATHENA";0.25;"KG";2.39;9.56;0;0;0;2.39;"8015578000040";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
