BARKOD_ARTIKLA,SIFRA_ARTIKLA,NAZIV_ARTIKLA,BRAND,ROBNA_STRUKTURA,JEDINICA_MJERE,NETO_KOLICINA,MPC,MPC_POSEBNA_PRODAJA,CIJENA_PO_JM,MPC_NAJNIZA_30,MPC_020525,DATUM_ULASKA_NOVOG_ARTIKLA,PRVA_CIJENA_NOVOG_ARTIKLA
3858889862939,10004680,ČOKOLADNI DES.MINI BAN.120 g K,CHOCO BANANA,PAKIRANA HRANA I PIĆE,kom,"0,120",,"1,49","12,42","1,89","1,89",,
3859892799281,10004714,SALAMIN S TARTUFIMA 200 g,STANDARD,HLAĐENO I SMRZNUTO,kom,"0,200","9,49",,"47,45",,"9,49",,
3858884931890,10004719,PANCETA ISTARSKA NAREZAK 80 g,PISINIUM,HLAĐENO I SMRZNUTO,kom,"0,080","3,99",,"49,88",,"3,99",,
8600104005042,10004744,ŠTRUDLE ČOKO. JAFFA 264 g MEDE,MEDELA ŠTRUDLE,PAKIRANA HRANA I PIĆE,kom,"0,264","2,29",,"8,67",,"2,29",,
3850102516889,10004780,ČOKOLADA COCOLADA 98 g DORINA,DORINA,PAKIRANA HRANA I PIĆE,kom,"0,098","2,29",,"23,37",,"2,29",,
3850354015987,10004789,KEFIR 330 g DUKAT,,HLAĐENO I SMRZNUTO,kom,"0,330","1,45",,"4,39",,"1,45",,
7622210544179,10004809,ČOKOLADA OREO BIJELI 100 g MIL,MILKA,PAKIRANA HRANA I PIĆE,kom,"0,100","2,65",,"26,5",,"2,65",,
3859889556453,10004813,"VINO GRAŠEVINA 0,75 L ILOČKI P",ILOČKI PODRUMI,PAKIRANA HRANA I PIĆE,kom,"0,750","7,49",,"9,99",,"7,49",,
3045206393003,10004817,SREDSTVO ZA KUPAONU 500 ml SAN,SANYTOL,NEPREHRANA,kom,"0,500","3,59",,"7,18",,"3,59",,
8003850288491,10004840,RAJČICE SUŠ.U ULJU 280 g IPOS,IPOSEA,PAKIRANA HRANA I PIĆE,kom,"0,130","2,99",,23,,"2,99",,
3858881083615,10004869,CAPPUCCINO CLASSIC  200 g FRAN,FRANCK,PAKIRANA HRANA I PIĆE,kom,"0,200","3,79",,"18,95",,"3,79",,
3856014117886,10004878,KEKS BREAKFAST DUPLA ČOK.160 g,KOESTLIN,PAKIRANA HRANA I PIĆE,kom,"0,160","2,29",,"14,31",,"2,29",,
4006000075402,10004899,NIVEA SUN DJEČJI LOSION SPF50+,NIVEA,NEPREHRANA,kom,"0,200","18,99",,"94,95",,"18,99",,
3858882216494,10004944,SALATA FRANCUSKA 1 kg ZVIJEZDA,ZVIJEZDA SALATE,HLAĐENO I SMRZNUTO,kom,"1,000","6,49",,"6,49",,"6,49",,
3858882212502,10004964,KEČAP PIZZA 490 g ZVIJEZDA,ZVIJEZDA KETCHUP,PAKIRANA HRANA I PIĆE,kom,"0,490",,"1,49","3,04","2,49","2,49",,
8003740032074,10004968,TJ.PENNET. LISCE 32 500 g ARRI,ARRGHI,PAKIRANA HRANA I PIĆE,kom,"0,500","1,35",,"2,7",,"1,35",,
3858888591908,10004993,SIR LISTIĆI TOAST SANDW.150 g,ZDENKA,HLAĐENO I SMRZNUTO,kom,"0,150","1,79",,"11,93",,"1,79",,
3859892873066,10005040,HUMUS BUČINE SJEMENKE 250 g,SANA,HLAĐENO I SMRZNUTO,kom,"0,250","4,29",,"17,16",,"4,29",,
24000181521,10005044,KOMPOT BRESKVE POL. 420 g DEL,DEL MONTE,PAKIRANA HRANA I PIĆE,kom,"0,235","2,29",,"9,74",,"2,29",,
3850257021160,10005055,"VINO ROSE 0,75 L BELJE",VINA BELJE,PAKIRANA HRANA I PIĆE,kom,"0,750","9,49",,"12,65",,"9,49",,
8594002680138,10005082,FINISH 250 ml MACHINE CLEANER,FINISH,NEPREHRANA,kom,"0,250","6,49",,"25,96",,"6,49",,
8711000530337,10005165,KAVA INST. ICE COFFEE 18 g JAC,JACOBS,PAKIRANA HRANA I PIĆE,kom,"0,018","0,39",,"21,67",,"0,39",,
3859888499249,10005187,TJ. TAGLIATELLE BR.10 500 g KLARA M,,PAKIRANA HRANA I PIĆE,kom,"0,500","4,99",,"9,98",,"4,99",,
8008685000515,10005197,DVOPEK KLASIK 250 g PANDORE,PANDORE,SVJEŽI ODJELI,kom,"0,250","1,43",,"5,72",,"1,43",,
5997381375658,10005261,PUDING ČOK. 49 g 3+1 GR. DR.OE,DR. OETKER,PAKIRANA HRANA I PIĆE,kom,"0,147","2,29",,"15,58",,"2,29",,
292477,10005276,MANDARINA,,SVJEŽI ODJELI,kg,"1,000","1,99",,"1,99",,"1,99",,
3856020224653,10004905,PAŠTETA PILEĆA S AJVAROM 95 g,PODRAVKA,PAKIRANA HRANA I PIĆE,kom,"0,095",,"0,69","7,26","1,45","1,45",,
3858892940594,10004988,ČAJNO PECIVO S ČOK.300 g BONDI,BONDI,PAKIRANA HRANA I PIĆE,kom,"0,300","1,69",,"5,63",,"1,69",,
3046920029780,10004997,ČOKOLADA EXC.MILD 70% 100 g LI,,PAKIRANA HRANA I PIĆE,kom,"0,100","4,55",,"45,5",,"3,09",,
4005808430208,10005056,NIVEA SUN NJEGUJUĆI LOSION SPF,NIVEA,NEPREHRANA,kom,"0,200","18,99",,"94,95",,"18,99",,
8004050036707,10005113,SRED.ZA ČIŠ.WC NET 750 ml MOUN,WC NET,NEPREHRANA,kom,"0,750",,"1,59","2,12","3,69","3,69",,
5900951017247,10005237,PEDIGREE MP 100 g VR.JUN.PIL/R,PEDIGREE,NEPREHRANA,kom,"0,100",,"0,69","6,9","0,89","0,89",,
5907707051067,10005241,AROMA RUM BOČ.38 ml  DR.OETKER,DR. OETKER,PAKIRANA HRANA I PIĆE,kom,"0,038","1,79",,"47,11",,"1,79",,
8717644169490,10005271,DOMESTOS ZERO LIME 750 ml,DOMESTOS,NEPREHRANA,kom,"0,750","3,99",,"5,32",,"3,99",,
8600012700282,10005278,GRAH SA SLANINOM 400 g CARNEX,CARNEX,PAKIRANA HRANA I PIĆE,kom,"0,400",,"2,79","6,98","3,99","3,99",,
5000204141672,10005281,MR.MUSCLE ZA KUH.BAZA 500 ml,MR.MUSCOLO,NEPREHRANA,kom,"0,500","4,25",,"8,5",,"4,25",,
3850116753034,10005290,LEDOLETTA MARELICA 500 g,LEDO,HLAĐENO I SMRZNUTO,kom,"0,500","3,99",,"7,98",,"3,99",,
3850104272295,10005379,SENF ESTRAG. ČAŠICA 100 g,PODRAVKA,PAKIRANA HRANA I PIĆE,kom,"0,100","1,69",,"16,9",,"1,69",,
8717163349885,10005384,OSVJEŽ. WC ŠK. DOMESTOS 40 g,DOMESTOS,NEPREHRANA,kom,"0,040","2,69",,"67,25",,"2,69",,
7613036987394,10005401,FRISKIES MM 4x85 g LOSOS,FRISKIES,NEPREHRANA,kom,"0,340","2,49",,"7,32",,"2,49",,
3858890975512,10005442,NAPITAK MULTIVITAMIN 1 L TO,TO,PAKIRANA HRANA I PIĆE,kom,"1,000","1,69",,"1,69",,"1,45",,
3850105136404,10005446,VIM CITRO 500 g,VIM,NEPREHRANA,kom,"0,500","1,99",,"3,98",,"1,99",,
4000446001728,10005486,KRUH RAŽENI 500 g MESTEMACHER,,PAKIRANA HRANA I PIĆE,kom,"0,500","2,99",,"5,98",,"2,99",,
8076800105056,10005532,TJ.BARILLA SPAGH.BR.5 1 kg,BARILLA,PAKIRANA HRANA I PIĆE,kom,"1,000","3,69",,"3,69",,"3,69",,
3858888830694,10005424,"VINO MALVAZIJA 0,75 L CAPO",CAPO,PAKIRANA HRANA I PIĆE,kom,"0,750","13,99",,"18,65",,"13,99",,
3858892940549,10005444,GROŽĐICE 300 g,,PAKIRANA HRANA I PIĆE,kom,"0,300","2,09",,"6,97",,"2,09",,
3859888851559,10005476,PREMIUM KADULJA 250 g APIMEL,APIMEL,PAKIRANA HRANA I PIĆE,kom,"0,250","4,29",,"17,16",,"4,29",,
7610400082549,10005485,PRALINE CORNET MILK 200 g LIND,,PAKIRANA HRANA I PIĆE,kom,"0,200","10,49",,"52,45",,"7,19",,
8002030114025,10005517,OFF! SPREJ 100 ml,OFF,NEPREHRANA,kom,"0,100","5,99",,"59,9",,"5,99",,
3850104263514,10005544,ŽITARICE LINO CRUNCH DUO 500 g,LINO,PAKIRANA HRANA I PIĆE,kom,"0,500","5,29",,"10,58",,"5,29",,
3500610091223,10005614,"PJENUŠAC PIERLANT 0,75 L FANT",PIERLANT,PAKIRANA HRANA I PIĆE,kom,"0,750","5,49",,"7,32",,"5,49",,
8690504018087,10005641,ŠTAPIĆI SA SEZAMOM 40 g ULKER,ULKER,PAKIRANA HRANA I PIĆE,kom,"0,040","0,59",,"14,75",,"0,55",,
7300400112734,10005644,DVOPEK WASA SEZAM 200 g,WASA,SVJEŽI ODJELI,kom,"0,200","3,29",,"16,45",,"3,29",,
3858890970302,10005659,NEKTAR CRNI RIBIZ 1 L JUICY,JUICY,PAKIRANA HRANA I PIĆE,kom,"1,000","2,75",,"2,75",,"2,75",,
3858888591885,10005707,SIR LISTIĆI TOAST EDAMA 150 g,,HLAĐENO I SMRZNUTO,kom,"0,150","1,89",,"12,6",,"1,89",,
8712561593335,10005727,GEL ZA TUŠ. 250 ml DOVE DEEPLY,DOVE,NEPREHRANA,kom,"0,250",,"1,89","7,56","2,99","2,99",,
5099873038758,10005743,"WHISKEY 0,70 L GENTLEMAN JACK",JACK DANIELS GJ 4%,PAKIRANA HRANA I PIĆE,kom,"0,700","39,49",,"56,41",,"39,49",,
8435124854147,10005785,LIZALICA BRKOVI 15 g DUPIN,,PAKIRANA HRANA I PIĆE,kom,"0,015","1,67",,"111,33",,"1,67",,
4015400563846,10005787,ULOŠCI DNEVNI 44/1 EXTRA LONG,ALWAYS,NEPREHRANA,kom,"44,000","3,49",,"0,08",,"3,49",,
3859893386138,10005814,"VINO POŠIP PREM.0,75 L TERRA M",,PAKIRANA HRANA I PIĆE,kom,"0,750","16,49",,"21,99",,"16,49",,
5000204306910,10005818,GLADE GEL LAVANDA LJUBIC. 150g,GLADE,NEPREHRANA,kom,"0,150","3,29",,"21,93",,"3,29",,
5020411113828,10005879,KINDER BUENO T4 172 g,FERRERO SNACKS,PAKIRANA HRANA I PIĆE,kom,"0,172","4,29",,"24,94",,"4,29",,
3858883227987,10005893,SIR OVČJI DIDOV 100 g,BUCO,HLAĐENO I SMRZNUTO,kom,"0,100","6,29",,"62,9",,"6,29",,
5201219488800,10005988,"INSTANT TJEST.PILETINA 59,2 g MA",MAGGI,PAKIRANA HRANA I PIĆE,kom,"0,059","0,79",,"13,39",,"0,79",,
8680782523571,10005993,ČIPS KUK. HOT PEPPER 100 g PAT,PATOS,PAKIRANA HRANA I PIĆE,kom,"0,100","2,29",,"22,9",,"2,29",,
3850354016472,10005575,JOGURT LGG SPIRULINA 330 g,,HLAĐENO I SMRZNUTO,kom,"0,330","1,99",,"6,03",,"1,99",,
3850104274015,10005594,JUHA KOCKA POVRTNA 120 g PODR,PODRAVKA,PAKIRANA HRANA I PIĆE,kom,"0,120","2,29",,"19,08",,"2,29",,
3830003054338,10005623,CIKLA 530 g NATURETA,NATURETA,PAKIRANA HRANA I PIĆE,kom,"0,370","2,39",,"6,46",,"2,39",,
76145759,10005661,ČOKOLADA MLIJ. 35 g TOBLERONE,TOBLERONE,PAKIRANA HRANA I PIĆE,kom,"0,035","1,49",,"42,57",,"1,49",,
3415581113839,10005688,SLADOLED BELGIJSKA ČOK. 460 ml,HAAGEN DAZS,HLAĐENO I SMRZNUTO,kom,"0,460","7,99",,"17,37",,"7,99",,
3858890261868,10005736,RAHAT LOKUM ORAH 180 g ADRIA,,PAKIRANA HRANA I PIĆE,kom,"0,180","1,46",,"8,11",,"1,46",,
3858887240722,10005760,MUESLI ČOK/BANANA 350 g NATURE,NATUREL,PAKIRANA HRANA I PIĆE,kom,"0,350","3,99",,"11,4",,"3,99",,
3858881044043,10005772,ČOKOLADA U PRAHU 100 g KANDIT,KANDIT,PAKIRANA HRANA I PIĆE,kom,"0,100","2,39",,"23,9",,"2,39",,
8594059380418,10005796,FOLIJA PRIJANJAJUĆA 30 m PRIMA,,NEPREHRANA,kom,"30,000","2,99",,"0,1",,"2,99",,
