Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
KREKER INTEGRALNI 250 G COLUSSI;736644;COLUSSI;0,250 KG;KOM;1,79;7,16;;;1,79;8002590017538;HRANA;
KAVA JUBILARNA MLJ. 175 G FRANCK;736732;FRANCK JUBILARNA;0,175 KG;KOM;4,39;25,09;;;4,39;3858881085589;HRANA;
KAVA JUBILARNA MLJ. 400 G FRANCK;736734;FRANCK JUBILARNA;0,400 KG;KOM;8,29;20,73;;;8,29;3858881085596;HRANA;
KAVA GLORIA MLJ. 175 G;736742;GLORIA KAVA;0,175 KG;KOM;4,09;23,37;;;4,09;3858881085602;HRANA;
AROMA LIMUN 2X5 G SCHWARTAU;736836;DR.OETKER;0,010 KG;KOM;1,59;159,00;;;1,59;4000521006242;HRANA;
FROSCH UNIVERZALNO SREDSTVO 1 L LAVANDA;736904;FROSCH;1 L;KOM;3,21;3,21;;;3,21;4009175907844;DROGERIJA;
GRIS INST.200 G FRANCK;737104;FRANCK  KONZERVIRANO;0,200 KG;KOM;1,09;5,45;;;1,09;3858881086401;HRANA;
PALENTA INST.200 G FRANCK;737105;FRANCK  KONZERVIRANO;0,200 KG;KOM;,89;4,45;;;,89;3858881086456;HRANA;
OCAT ALKOHOLNI 1 L SEGESTICA;737114;LABUD I BADEL OCAT;1 L;KOM;1,24;1,24;;;1,24;3858889640018;HRANA;
CAJ FIL.SUM.VOCE 110 G MAXI FRANCK;737303;FRANCK CAJ;0,110 KG;KOM;3,79;34,45;;;3,79;3858881085695;HRANA;
CAJ FIL.ZELENI K. 70 G MAXI FRANCK;737304;FRANCK CAJ;0,070 KG;KOM;3,49;49,86;;;3,49;3858881086661;HRANA;
SRDE. SL.OC.U MAS.U.370 G ADRIATICON;737312;TRENTON;0,243 KG;KOM;5,71;23,50;;;7,17;3859888906358;HRANA;
PIVO CORONA 0,355 L;737432;CORONA;0,355 L;KOM;2,19;6,17;;;2,19;75032814;PICE;
SYOSS SUHI SAMP 200 ML ANTI GREASE;737473;SYOSS;0,200 L;KOM;4,89;24,45;;;6,49;9000100695800;DROGERIJA;
MUSA BASJO - JAPANSKA BANANA;737480;;;KOM;;;5,69;5,69;5,69;8718432499232;HRANA;
NAPOLITANKA NOUGAT 420 G KRAS;737775;NAPOLITANKE OSTALO KRAS;0,420 KG;KOM;3,19;7,60;;;3,19;3850102326174;HRANA;
NAPOLITANKA NOUGAT 840 G KRAS;737777;KRAS TJEDNE NARUDZBE;0,840 KG;KOM;4,99;5,94;;;4,99;3850102326198;HRANA;
NAMAZ OD POV.S MASL. 75 G NATUREL;737799;NATUREL KONDITORAJ;0,075 KG;KOM;1,46;19,47;;;1,46;3858887246205;HRANA;
NAMAZ OD POV.S PAPR. 75 G NATUREL;737803;NATUREL KONDITORAJ;0,075 KG;KOM;1,46;19,47;;;1,46;3858887246212;HRANA;
NAMAZ OD POVRCA 75 G ALU NATUREL;737805;NATUREL KONDITORAJ;0,075 KG;KOM;1,46;19,47;;;1,46;3858887246243;HRANA;
NAMAZ OD POV.S SAMPINJ. 75 G NATUREL;737807;NATUREL KONDITORAJ;0,075 KG;KOM;1,46;19,47;;;1,46;3858887246236;HRANA;
TJ.JUSNI REZ.MRK/JAJ 400 G KOLEDA VRECICA;737969;KOLEDA;0,400 KG;KOM;2,25;5,63;;;2,25;3859888433076;HRANA;
TJ.JUSNI REZ.S JAJ.400 G KOLEDA VRECICA;737970;KOLEDA;0,400 KG;KOM;1,99;4,98;;;2,25;3859888433083;HRANA;
TJ.SIROKI REZ.S JAJ.400 G KOLEDA VRECICA;737972;KOLEDA;0,400 KG;KOM;1,99;4,98;;;2,25;3859888433090;HRANA;
TJ.RIB.KASA MRK/JAJ 400 G KOLEDA VRECICA;737974;KOLEDA;0,400 KG;KOM;2,25;5,63;;;2,25;3859888433151;HRANA;
TJ.KRPICE S JAJIMA 400 G KOLEDA VRECICA;737976;KOLEDA;0,400 KG;KOM;2,25;5,63;;;2,25;3859888433502;HRANA;
KIS.PAP.FILE ZUTA 720 ML ZVIJEZDA;738093;ZVIJEZDA UKISELJENO POVRCE;0,350 KG;KOM;3,19;9,11;;;3,19;3856015303783;HRANA;
PIVO ERDINGER SVIJETLO PSENICNO 0,5 L  BOCA;738101;ERDINGER;0,500 L;KOM;2,12;4,24;;;2,12;4002103201342;PICE;
KITEKAT 1,8 KG DRY GOV/POV;738334;MARS PETCARE;1,8 KG;KOM;9,59;5,33;;;9,59;5900951137877;HRANA;
KITEKAT 1,8 KG DRY PIL/POV;738335;MARS PETCARE;1,8 KG;KOM;9,59;5,33;;;9,59;5900951137884;HRANA;
NAMAZ OD VRGANJA 180G ZIGANTE;738384;ZIGANTE KONZERVIRANO;0,180 KG;KOM;6,24;34,67;;;6,24;3859892291501;HRANA;
UMAK PIKANT RAJCICA 400 G ZIGANTE;738389;ZIGANTE KONZERVIRANO;0,400 KG;KOM;5,09;12,73;;;5,09;3859892291662;HRANA;
UMAK OD RAJCICE S BOS.400 G ZIGANTE;738390;ZIGANTE KONZERVIRANO;0,400 KG;KOM;5,09;12,73;;;5,09;3859892291679;HRANA;
DZEM OD SMOKVE 240 G EXTRA ZIGANTE;738392;ZIGANTE KONZERVIRANO;0,240 KG;KOM;2,92;12,17;;;2,92;3859892291563;HRANA;
VINO ROSE LA VIE EN ROSE 0,75 L;738739;DEGRASSI;0,750 L;KOM;19,02;25,36;;;19,02;3859891805334;PICE;
KAS.BAN/JAB 190 G BEBIVITA;739108;VIVERA OSTALO - BEBIVITA;0,190 KG;KOM;1,13;5,95;;;1,13;9007253104739;HRANA;
KAS.SLJIVA 190 G BEBIVITA;739109;VIVERA OSTALO - BEBIVITA;0,190 KG;KOM;1,13;5,95;;;1,13;9007253102469;HRANA;
KAS.BRESKVA 190 G BEBIVITA;739110;VIVERA OSTALO - BEBIVITA;0,190 KG;KOM;1,13;5,95;;;1,13;9007253102476;HRANA;
NAPOLIT.CH.CREAM 420 G KRAS;739111;NAPOLITANKE OSTALO KRAS;0,420 KG;KOM;3,19;7,60;;;3,19;3850102326143;HRANA;
NAPOLITANKE LIM/NAR 420 G KRAS;739112;NAPOLITANKE OSTALO KRAS;0,420 KG;KOM;3,19;7,60;;;3,19;3850102326235;HRANA;
KVASAC INST. 100 G DR OETKER;739124;DR.OETKER;0,100 KG;KOM;1,39;13,90;;;1,39;8690770323045;HRANA;
KVASAC INST.450 G DR OETKER;739125;DR.OETKER;0,450 KG;KOM;4,92;10,93;;;4,92;8690770323052;HRANA;
WHISKY JOHNNIE WALKER BLACK 0,7 L + 2 CASE;739626;JOHNNIE WALKER;0,700 L;KOM;35,52;50,74;;;35,52;5000267196626;PICE;
WHISKY JOHNNIE WALKER RED LABEL NAKED 0,7 L;739627;JOHNNIE WALKER;0,700 L;KOM;18,59;26,56;;;18,59;5000267014203;PICE;
CLG.PASTA 100 ML TRIPLE ACTION;739698;COLGATE;0,100 L;KOM;;17,30;1,73;1,73;2,99;7891024132074;DROGERIJA;
FROSCH TEKUCI SAPUN REFIL 500 ML BADEMOVO MLIJEKO;739724;FROSCH;0,500 L;KOM;2,81;5,62;;;2,81;4009175957191;DROGERIJA;
FROSCH TEKUCI SAPUN REFIL 500 ML ALOE VERA;739725;FROSCH;0,500 L;KOM;2,81;5,62;;;2,81;4009175957177;DROGERIJA;
CHOCOMILK 15 G 1/25;739774;ANAMARIA;0,015 KG;KOM;,37;24,67;;;,37;3858881772991;HRANA;
VIOLETA VLA.MAR.MAKE UP 25 KOM;740039;VIOLETA;25 KOM;KOM;2,12;0,08;;;2,12;3870128004009;DROGERIJA;
KINDER COKOLADA 150 G PRIGODNA T12X240;740098;FERRERO;0,150 KG;KOM;2,59;17,27;;;2,59;4008400203829;HRANA;
BOMB.505 S CRTOM 100 G;740184;KRAS BOMBONI OSTALO;0,100 KG;KOM;1,09;10,90;;;1,09;3850102216147;HRANA;
COK.DES.BANANKO 30 G;740199;KRAS IMPULSI;0,030 KG;KOM;,55;18,33;;;,55;3850102127252;HRANA;
DEK BADEM LISTICI 100 G SCHWARTAU;740341;DR.OETKER;0,100 KG;KOM;5,31;53,10;;;5,31;4000521007126;HRANA;
BOMBONJ.TOFFIFE 200 G;740426;TOFFIFEE;0,200 KG;KOM;4,49;22,45;;;4,49;4014400900651;HRANA;
SANSEVERIA 25/12;740644;;;KOM;7,19;;;;7,19;8717432333119;HRANA;
VINO GRASEVINA MIRAZ 0,75 L;740743;FERAVINO VINA;0,750 L;KOM;10,99;14,65;;;10,99;3859892201074;PICE;
ELSEVE SAMP.250 ML FULL RESIST;740750;ELSEVE;0,250 L;KOM;4,49;17,96;;;4,49;3600522087496;DROGERIJA;
ELSEVE REG 200 ML FULL RESIST;740751;ELSEVE;0,200 L;KOM;4,49;22,45;;;4,49;3600522087533;DROGERIJA;
PALM.SAP.90 G BLACK ORHIDEA;740761;PALMOLIVE;0,090 KG;KOM;,72;8,00;;;,72;8693495034425;DROGERIJA;
PALM.SAP.90 G GREEN TEA;740763;PALMOLIVE;0,090 KG;KOM;,72;8,00;;;,72;8693495034111;DROGERIJA;
BOMBONI MENT.LEDENI 100 G;740766;KANDIT;0,100 KG;KOM;,86;8,60;;;,86;3858881043503;HRANA;
MLIJEKO ALPSKO 1,5% BEZ LAKTOZE 1 L LJUBLJANSKE MLEKARNE;740972;DUKAT-ALPSKO;1 L;KOM;2,19;2,19;;;2,19;3838800049922;HRANA;
VINO PLAVAC MALI MILICIC 0,75 L;741073;MILICIC;0,750 L;KOM;3,98;5,31;;;3,98;3859888400269;PICE;
COK.JAJE BOYS 20 G ZAINI;741079;ZAINI;0,020 KG;KOM;1,29;64,50;;;1,39;80737797;HRANA;
TORTA COK.KREMA 400 G BALOCCO;741243;BALOCCO;0,400 KG;KOM;6,49;16,23;;;6,49;8001100063669;HRANA;
DOLLI  RUCNICI 2 KOM 2SL 100LISTICA;741328;DOLLI;2 KOM;KOM;2,65;1,33;;;2,65;3856012886975;DROGERIJA;
SOFTY SALV.30X30/100 1SL.;741333;SOFTY;100 KOM;KOM;,99;0,01;;;,99;3856012887002;DROGERIJA;
CAJ FIL.KOMORAC K. 30 G OMOT;741425;FRANCK CAJ;0,030 KG;KOM;2,49;83,00;;;2,49;3858881086753;HRANA;
CAJ MAJC.DUSICA K. 30 G OMOT;741427;FRANCK CAJ;0,030 KG;KOM;2,49;83,00;;;2,49;3858881086777;HRANA;
CAJ UVA H. 30 G OMOT;741428;FRANCK CAJ;0,030 KG;KOM;2,09;69,67;;;2,09;3850291049786;HRANA;
VOCNI NAMAZ NARANCA 284 G ST. DALFOUR SALVIA;741463;ST.DALFOUR;0,284 KG;KOM;4,64;16,34;;;4,64;3492390007429;HRANA;
DEK MLJEVENI BADEM 100 G DR OETKER;741903;DR.OETKER;0,100 KG;KOM;4,15;41,50;;;5,58;4000521007089;HRANA;
KASICA JABUKA/BRESKVA/BANANA 4X100 G BEBIVITA;741912;VIVERA OSTALO - BEBIVITA;0,400 KG;KOM;2,55;6,38;;;2,55;4018852008552;HRANA;
POTEZAC PAMUCNI SARENI  26 CM/125 G;742375;HOBBY VITAKRAFT;0,125 KG;KOM;3,32;26,56;;;3,32;4008239396532;HRANA;
ZVAKALICA VK BONES S PILETINOM 80 G;742408;HOBBY VITAKRAFT;0,080 KG;KOM;3,32;41,50;;;3,32;4008239585813;HRANA;
ZVAKALICA S PILECIM FILEOM 80 G;742409;HOBBY VITAKRAFT;0,080 KG;KOM;3,32;41,50;;;3,32;4008239585783;HRANA;
DEK COKOLADNE KAPI 75 G;742667;DR.OETKER;0,075 KG;KOM;3,89;51,87;;;3,89;4000521007225;HRANA;
PUTAR STANGICA 40 G;742738;PAN PEK - PEKARSTVO;0,040 KG;KOM;,48;12,00;;;,48;;HRANA;
GILLETTE PROGLIDE PATRONE 4 KOM;742747;GILLETTE;4 KOM;KOM;25,45;6,36;;;25,45;7702018085514;DROGERIJA;
JOGURT CVRSTI 3,2% 800 G DUKAT;742761;DUKAT-DUKATOS;0,800 KG;KOM;2,19;2,74;;;2,19;3850354009924;HRANA;
FRISKIES MINI MENU PAS MESO/POVRCE 1,5 KG;742765;NESTLE PURINA;1,5 KG;KOM;6,49;4,33;;;6,49;7613034241207;HRANA;
FRISKIES MINI MENU PAS PILETINA/POVRCE 1,5 KG;742766;NESTLE PURINA;1,5 KG;KOM;6,49;4,33;;;6,49;7613034230485;HRANA;
AFROD.TEK.SAP.300 ML VANILLA;742782;AFRODITA;0,300 L;KOM;3,29;10,97;;;3,29;3830001291742;DROGERIJA;
MLIJ.DUKAT 2,8% 0,5 L BOCA DUKAT;743014;DUKAT;0,500 L;KOM;,99;1,98;;;,99;3850354006817;HRANA;
MESNI DORUCAK 2X150 G GAVRILOVIC;743081;GAVRILOVIC;0,300 KG;KOM;3,79;12,63;;;3,79;3859892502744;HRANA;
PALM.SAP.90 G ALOE OLIVE;743202;PALMOLIVE;0,090 KG;KOM;,72;8,00;;;,72;8693495033985;DROGERIJA;
PALM.SAP.90 G MILK ROSE;743203;PALMOLIVE;0,090 KG;KOM;,72;8,00;;;,72;8693495034258;DROGERIJA;
GILLETTE PJENA 300 ML ZA BRIJ. SENSITIVE;743355;GILLETTE;0,300 L;KOM;2,89;9,63;;;2,89;7702018617234;DROGERIJA;
GILL.GEL/BRIJ.240 ML SENSITIVE;743357;GILLETTE;0,240 L;KOM;5,31;22,13;;;5,31;7702018982011;DROGERIJA;
KINDER PINGUI 4X30 G FERRERO DUKAT;743608;DUKAT-KINDER FERRERO;0,120 KG;KOM;2,39;19,92;;;2,39;4008400290423;HRANA;
PALM.SAP.90 G CAMMOM VITAMINE E;743688;PALMOLIVE;0,090 KG;KOM;,72;8,00;;;,72;8693495033770;DROGERIJA;
JOGURT TEKUCI 2,8% 1 KG T REX VINDIJA;743739;VINDIJA-Z'BREGOV;1 KG;KOM;2,29;2,29;;;2,29;3850108030297;HRANA;
CAJ ZELENI 20X1,5 G AGRISTAR;743755;AGRISTAR;0,030 KG;KOM;1,88;62,67;;;1,88;3858886500070;HRANA;
CAJ SUMSKO VOCE XXL 40X2 G AGRISTAR;743758;AGRISTAR;0,080 KG;KOM;3,19;39,88;;;3,19;3858886503910;HRANA;
MLIJ.ZA KAVU 3,8% 0,5 L BOCA DUKAT;743850;DUKAT;0,500 L;KOM;1,09;2,18;;;1,09;3850354006831;HRANA;
BREF 2X50 G POWER AKTIV LIMUN;743851;BREF;0,100 KG;KOM;;27,40;2,74;5,49;5,49;9000100656832;DROGERIJA;
BREF 2X50 G POWER AKTIV PINE;743852;BREF;0,100 KG;KOM;;27,40;2,74;5,49;5,49;9000100656801;DROGERIJA;
LUCICE 290 G NATURETA STAKLO;743855;NATURETA;0,150 KG;KOM;1,99;13,27;;;2,25;3831029520470;HRANA;
COLOR SENSATION 1,0 ULT.ONYX BLACK;743943;GARNIER COLOR SENSATION;1 KOM;KOM;5,29;5,29;;;5,29;3600541135956;DROGERIJA;
COLOR SENSATION 4,60 INTENS.DARK RED;743949;GARNIER COLOR SENSATION;1 KOM;KOM;5,29;5,29;;;5,29;3600541136014;DROGERIJA;
KRAFNA S MARELICOM 60 G;744072;PAN PEK - PEKARSTVO;0,060 KG;KOM;,48;8,00;;;,59;3221;HRANA;
SILICAT 3,8 L MY PET;744076;CORTINA KUCNI LJUBIMCI;3,8 L;KOM;9,29;2,44;;;9,29;3859893047404;HRANA;
BRASNO T-550 1 KG KARLA;744171;ZITOPROIZVOD BRASNO;1 KG;KOM;,76;0,76;;;,76;3858881500570;HRANA;
TAFT LAK 250 ML VOLUMEN MEGA;744218;TAFT;0,250 L;KOM;4,99;19,96;;;4,99;9000100728201;DROGERIJA;
TAFT PJENA 200 ML VOLUM.MEGA;744219;TAFT;0,200 L;KOM;4,99;24,95;;;4,99;9000100728249;DROGERIJA;
TAFT GEL ZA KOSU 150 ML V12 HOLD SPEED LOOK;744220;TAFT;0,150 L;KOM;5,49;36,60;;;5,49;9000101723083;DROGERIJA;
FA MEN DEO 150 ML SPORT ENERGY BOOST;744250;FA;0,150 L;KOM;2,99;19,93;;;3,99;9000100736763;DROGERIJA;
FA MEN GEL 250 ML SPORT ENERGY BOOST;744251;FA;0,250 L;KOM;1,79;7,16;;;2,79;9000100729505;DROGERIJA;
FA MEN ROLL ON 50 ML SPORT ENERGY BOOST;744254;FA;0,050 L;KOM;2,99;59,80;;;3,99;9000100736817;DROGERIJA;
PUDING COKOLADA 4X125 G DUKAT;744297;DUKAT-DOLCE;0,500 KG;KOM;1,79;3,58;;;1,79;3850354013297;HRANA;
VRH.KREM DOMACE 25% 300 G DUKAT;744456;DUKAT-BRZO I FINO;0,300 KG;KOM;1,89;6,30;;;1,89;3850354008729;HRANA;
ORAH NADJEV 200 G SAFRAM;744472;SAFRAM;0,200 KG;KOM;2,95;14,75;;;2,95;3859890104681;HRANA;
DESERT JAGODA 150G ZEL.DOLINE;744696;ZELENE DOLINE;0,150 KG;KOM;,79;5,27;;;,99;3831051008991;HRANA;
USKRSNJI ZEC 60 G INCO;744805;INCO;0,060 KG;KOM;,59;9,83;;;,99;5901812694225;HRANA;
DODATAK JELIMA 250 G FINO;744837;FINO;0,250 KG;KOM;,79;3,16;;;,79;3856012898770;HRANA;
COK.JAJE BIMBO/BIMBA 150 G DOLFIN;744959;DOLFIN;0,150 KG;KOM;;6,60;,99;2,99;4,99;8002267000849;HRANA;
AQ CETK.EXTREME CLEAN MED.DUOPACK 1+1;745043;AQUAFRESH;2 KOM;KOM;4,09;2,05;;;3,79;5054563927910;DROGERIJA;
NEUTR.BALZAM 300 ML DEEP MOISTURE COMFORT;745103;J J;0,300 L;KOM;9,49;31,63;;;9,49;3574660514643;DROGERIJA;
NIVEA MEN DEO 150 ML SENSITIVE PROTECT;745139;NIVEA;0,150 L;KOM;5,25;35,00;;;5,25;4005808734320;DROGERIJA;
NIVEA MEN ROLL ON 50 ML SENSITIVE PROTECT;745140;NIVEA;0,050 L;KOM;5,55;111,00;;;5,55;42242055;DROGERIJA;
GERBERA MIX 2+ 20/12;745145;;;KOM;2,19;;;;2,19;8721317138010;HRANA;
PANTENE SAMP. 400 ML AQUA LIGHT;745198;PANTENE SAMPONI;0,400 L;KOM;6,29;15,73;;;6,29;5410076561223;DROGERIJA;
PANTENE SAMP. 400 ML REPAIR  PROTECT;745199;PANTENE SAMPONI;0,400 L;KOM;6,29;15,73;;;6,29;5410076561834;DROGERIJA;
MYSOTIS SYL. BLUE 20/10.5;745246;;;KOM;1,25;;;;1,25;8717972008713;HRANA;
VODA KALNICKA GAZIRANA 0,5 L;745277;IZVORI KALNIKA;0,500 L;KOM;,76;1,52;;;,76;3850322007662;PICE;
VODA KALA 0,5 L;745278;IZVORI KALNIKA;0,500 L;KOM;,76;1,52;;;,76;3850322007624;PICE;
VODA KALNICKA GAZIRANA 1,5 L;745279;IZVORI KALNIKA;1,5 L;KOM;,68;0,45;;;,87;3850322007587;PICE;
VODA KALA 1,5 L;745280;IZVORI KALNIKA;1,5 L;KOM;,68;0,45;;;,87;3850322007600;PICE;
PALM.SAP.90 G MILK HONEY;745548;PALMOLIVE;0,090 KG;KOM;,72;8,00;;;,72;8693495034180;DROGERIJA;
CUPRESSUS GOLD.C WILMA 40-50/14;745616;;;KOM;3,49;;;;3,49;8717432281687;HRANA;
CROI.KAK/VAN MINI DOUB.60 G 7 DAYS;745656;CHIPITA;0,060 KG;KOM;1,06;17,67;;;1,06;7622202214660;HRANA;
CROI.KAK/VAN.185 G FAM.DOUBLE 7 DAYS;745659;CHIPITA;0,185 KG;KOM;1,89;10,22;;;2,65;7622202213984;HRANA;
TORTA COKOLADA 400 G BALOCCO;745667;BALOCCO;0,400 KG;KOM;3,99;9,98;;;6,49;8001100063942;HRANA;
KREKER CROCO BIG 200 G;745684;CROCO;0,200 KG;KOM;1,85;9,25;;;1,85;5941194002553;HRANA;
MARGARIN KLASIK 250 G ZVIJEZDA;745807;ZVIJEZDA MARGARIN;0,250 KG;KOM;,85;3,40;;;,85;3856015301901;HRANA;
MAJONEZA CILI 165 G TUBA ZVIJEZDA;745808;ZVIJEZDA MAJONEZA;0,170 KG;KOM;2,39;14,06;;;2,39;3856015304339;HRANA;
KAVA NESC.CLASS.LIMENKA 200 G;745829;NESCAFE;0,200 KG;KOM;9,99;49,95;;;9,99;7891000255025;HRANA;
KIS.MLIJ.CVRS 3,2% 900 G VINDIJA;745838;VINDIJA-Z'BREGOV;0,900 KG;KOM;2,39;2,66;;;2,39;3850108031812;HRANA;
WHISKEY JACK DANIELS 0,7 L;745855;BROWN FORMAN - JACK DANIEL'S;0,700 L;KOM;23,02;32,89;;;23,02;5099873089798;PICE;
VIPLAST VRECE  ZA OTPA 40 L  10/1;745948;VIPLAST;;KOM;1,33;;;;1,33;3859889027274;PROIZVODI ZA KUCANSTVO;
ALOE VERA 30/12;745951;;;KOM;3,49;;;;3,49;8717972006535;HRANA;
AFRICKA IVANCICA KOM;745961;;;KOM;1,49;;;;1,49;3858891490311;HRANA;
PANIRANI FILE OSLICA I  BLITVA S KRUMPIROM PORCIJA;746022;PLODINE GASTRO;0,500 KG;KOM;5;10,00;;;5;;HRANA;
VEGETA BOCICA 200 G;746082;VEGETA;0,200 KG;KOM;2,39;11,95;;;2,39;3850104255274;HRANA;
LIMUN SECER 10 G DOLCELA;746129;DOLCELA;0,010 KG;KOM;,39;39,00;;;,39;3850104259340;HRANA;
DANONINO BAN/JAG/MAR 6X50 G DANONE;746187;DANONE;0,300 KG;KOM;2,59;8,63;;;2,59;4009700035783;HRANA;
AJAX STAKLO 750 ML WIND SHINE SPREJ;746208;AJAX;0,750 L;KOM;2,79;3,72;;;2,79;8718951048799;DROGERIJA;
BRASNO T-550 5 KG KARLA;746212;ZITOPROIZVOD BRASNO;5 KG;KOM;3,74;0,75;;;3,74;3858881500600;HRANA;
BOMB.LIMUN MEDENI 100 G;746286;KANDIT;0,100 KG;KOM;,86;8,60;;;,86;3858881049789;HRANA;
AJVAR BLAGI 300 G BAKINA TAJNA;746287;ATLANTIC FOODLAND;0,300 KG;KOM;;13,30;3,99;5,49;5,49;8606102785030;HRANA;
EX.DZEM MARELICA 375 G BAKINA TAJNA;746290;ATLANTIC FOODLAND;0,375 KG;KOM;3,99;10,64;;;3,99;8606102785016;HRANA;
AJVAR LJUTI 300 G BAKINA TAJNA;746295;ATLANTIC FOODLAND;0,300 KG;KOM;;13,30;3,99;5,49;5,49;8606102785535;HRANA;
GARNIER MEN ROLL-ON 50 ML NEUTRALIZER;746408;GARNIER DEO;0,050 L;KOM;5,09;101,80;;;5,09;3600541151383;DROGERIJA;
MLIJEKO COKOLADNO 1 L BOCA DUKAT;746413;DUKAT;1 L;KOM;2,39;2,39;;;2,39;3850354007661;HRANA;
MASL.LIGHT 250 G PRESIDENT DUKAT;746414;DUKAT-PRESIDENT;0,250 KG;KOM;4,29;17,16;;;4,29;3228022000298;HRANA;
LOBELIA MIX;746458;;;KOM;,99;;;;,99;3859891968282;HRANA;
PEDIGREE 1200 G GOV.U ZELEU;746473;MARS PETCARE;1,2 KG;KOM;5,49;4,58;;;5,49;5900951284533;HRANA;
VIOLETA RUC.2 KOM CLEVER CUT 3 SL PIKNIK;746555;VIOLETA;2 KOM;KOM;1,99;1,00;;;1,99;3859892288488;DROGERIJA;
JUHA INS.POVRCE 375 G INDOMIE;746662;INDOMIE;0,375 KG;KOM;;5,31;1,99;1,99;2,09;089686170269;HRANA;
INS.TJEST.MI GORENG 400 G INDOMIE;746663;INDOMIE;0,400 KG;KOM;2,65;6,63;;;2,65;5285000390589;HRANA;
N/R ROLL-ON 50 ML FRESCO NOVO NATURAL;746786;NEUTRO ROBERTS;0,050 L;KOM;4,16;83,20;;;4,16;80838289;DROGERIJA;
SOK JUICY JABUKA 100% 1 L;746887;JUICY;1 L;KOM;2,29;2,29;;;2,29;3858890970210;PICE;
VIPLAST VRECE ZA SMECE  45 L  30/1;746909;VIPLAST;;KOM;2,12;;;;2,12;3859889027281;PROIZVODI ZA KUCANSTVO;
AUTAN GEL POSL.UBODA 25 ML;746953;AUTAN;0,025 L;KOM;4,99;199,60;;;4,99;5000204647006;DROGERIJA;
AUTAN TROP. SUHI SPR.100 ML;746958;AUTAN;0,100 L;KOM;9,95;99,50;;;9,95;5000204645354;DROGERIJA;
VRHNJE ZA KUHANJE 500 G BOCA DUKAT;747051;DUKAT-BRZO I FINO;0,500 KG;KOM;3,39;6,78;;;3,39;3850354008606;HRANA;
LINO PILLOWS BIJELI 250 G;747060;LINO;0,250 KG;KOM;3,49;13,96;;;3,49;3850104259616;HRANA;
FELCE TEK.SAP.300 ML ANTIBAKTERIJSKI;747149;FELCE;0,300 L;KOM;2,65;8,83;;;2,65;8001280024269;DROGERIJA;
NAPIT.OD BADEMA 1 L ALPRO;747195;ALPRO;1 L;KOM;;2,29;2,29;3,79;3,79;5411188110835;HRANA;
MASLAC MOTTE SLANI 250 G PRESIDENT DUKAT;747253;DUKAT-PRESIDENT;0,250 KG;KOM;4,29;17,16;;;4,29;3155250367094;HRANA;
OPUNTIA RUBESCENS CONSOLEA 35-40/12;747361;;;KOM;4,99;;;;4,99;8717432822088;HRANA;
BOROTALCO ROLL ON 50 ML INVISIBLE;747407;BOROTALCO;0,050 L;KOM;;39,80;1,99;1,99;3,99;80844044;DROGERIJA;
BOROTALCO 150 ML DEO  INVISIBLE;747409;BOROTALCO;0,150 L;KOM;;13,27;1,99;1,99;3,99;8002410041866;DROGERIJA;
FELCE OMEK. 2 L  40 PR. JANTAR I VANILIJA;747444;FELCE;2 L;KOM;6,7;3,35;;;6,7;8001280413285;DROGERIJA;
VAPE TABL.ZA KOMAR.30 KOM MIRISNE;747524;VAPE;30 KOM;KOM;3,67;0,12;;;3,67;8006320061990;DROGERIJA;
DALAN SAPUN 100 G FRUIT GARDEN;747609;INDOR;0,100 KG;KOM;,5;5,00;;;,5;8690529507658;DROGERIJA;
PEDIGREE 400 G GOV/ZELE;747716;MARS PETCARE;0,400 KG;KOM;2,39;5,98;;;2,39;5900951284519;HRANA;
KIND.MILCHSCHNITTE 5X28 G FERRERO DUKAT;747959;DUKAT-KINDER FERRERO;0,140 KG;KOM;2,99;21,36;;;2,99;8000500062654;HRANA;
KAVA SANTAMARIA 400 G;748091;ANAMARIA;0,400 KG;KOM;4,99;12,48;;;4,99;3858881773202;HRANA;
BOMB.RONDO C XXL 61,5 G;748092;CEDEVITA KOMPRIMATI;0,615 KG;KOM;1,59;2,59;;;1,59;3850322008331;HRANA;
STAPICI SLANI 220 G PRIMA;748107;SOKO STARK;0,220 KG;KOM;1,19;5,41;;;1,19;8600939212271;HRANA;
STAPICI KIKIRIKI 100 G PRIMA;748108;SOKO STARK;0,100 KG;KOM;,89;8,90;;;,89;8600939212295;HRANA;
SOK YIPPY NARANCA 0,33 L PET;748152;RAUCH;0,330 L;KOM;;3,48;1,15;1,32;1,39;9008700141949;PICE;
SOK YIPPY JABUKA 0,33 L PET;748153;RAUCH;0,330 L;KOM;;3,48;1,15;1,32;1,39;9008700141918;PICE;
PAPALINA  IQF ILI BLOK  RFZ;748193;SMRZNUTA RIBA RFZ;;KG;1,72;;;;3,09;010018;HRANA;
AFROD.CALENDULA DNEV.KREMA 50 ML;748219;AFRODITA;0,050 L;KOM;8,99;179,80;;;8,99;3831070659952;DROGERIJA;
AFROD.CALENDULA NOCNA KREMA 50 ML;748220;AFRODITA;0,050 L;KOM;8,99;179,80;;;8,99;3831070659969;DROGERIJA;
